signal_id,initiative_id,workstream,issue_id,issue_date,status,follow_through_of,duplicate_of,geography,domain,dpi_components,milestone_type,milestone_date,canonical_headline,canonical_summary,entities,source_name,source_url,source_pub_date,confidence,impact_rating,pilot_watch,time_sensitive,time_window,notes
SIG-20251103-001,INIT-TT-CSIRT-ADVISORY,Caribbean-CTO-Brief,Issue-01,2025-11-03,NEW,,,Caribbean,AI|Cyber,Cyber|TrustLayer,INCIDENT,2025-11-03,Cybersecurity,TT-CSIRTissued an advisory about the Shai-Hulud Self-Replicating Worm Supply Chain Compromise.,NPM|TT|TT-CSIRT,,https://ttcsirt.gov.tt/tt-csirt-453-24-09-25-shai-hulud-self-replicating-worm-supply-chain-compromise/,(date not provided),HIGH,MEDIUM,NO,NO,,
SIG-20251103-002,INIT-50-IN-5,Caribbean-CTO-Brief,Issue-01,2025-11-03,NEW,,,Trinidad & Tobago,AI|DPI|Events,ID|TrustLayer,POLICY,2025-11-03,DPI,"Trinidad and Tobago's Minister of Public Administration and Artificial Intelligence, Dominic Alexander Smith, officially announces that the country has joined the global ""50-in-5"" campaign.",CEO|CTU|DPI,,https://www.youtube.com/watch?v=uPBCT4mAAns,(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251103-003,INIT-GLOBAL-DPI-SUMMIT-2025,Caribbean-CTO-Brief,Issue-01,2025-11-03,NEW,,,Global,DPI|Events,Interoperability|TrustLayer,EVENT,2025-11-04,Global DPI Summit 2025 begins in Cape Town,Global Digital Public Infrastructure Summit runs Nov 4–6 in Cape Town; iGovTT CEO appears on a panel on open-source and capacity-building.,iGovTT,globaldpisummit.org,https://globaldpisummit.org,2025-11-03,MEDIUM,MEDIUM,NO,YES,2025-11-04..2025-11-06,Protocol inferred from domain shown in Issue 1.
SIG-20251103-004,INIT-50-IN-5,Caribbean-CTO-Brief,Issue-01,2025-11-03,FOLLOW-THROUGH,SIG-20251103-002,,Trinidad & Tobago,AI|Cyber|DPI|Events,Cyber|ID|Location|TrustLayer,INCIDENT,2025-11-03,Digital ID,Barbados The Government of Barbados is launching a new public education campaign to build trust and address public apprehension surrounding the new digital ID card initiative.,AI|AST|CTO|CTU|DBS|DPI|DX|FMCG|ID|NPM,,https://barbadostoday.bb/2025/10/27/govt-to-relaunch-campaign-for-digital-id-cards/?utm_source=chatgpt.com,(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251111-001,INIT-BARBADOS-AI-CYBERSECURITY-PRIORITIES-NEED,Caribbean-CTO-Brief,Issue-02,2025-11-11,NEW,,,Barbados,AI|Cyber|DPI|Interoperability,Cyber|ID|ServiceFrontDoor|TrustLayer,REPORT,2025-11-11,AI in Cybersecurity: Caribbean Priorities and the Need for,"Verifiable TrustPwC reports that 78% of organizations globally will increase cyber budgets in 2026, with AI as the top investment area.",AI|ID,,https://barbadostoday.bb/2025/11/04/caribbean-firms-to-prioritise-ai-for-cybersecurity-pwc-study,(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251111-002,INIT-TRINIDAD-TOBAGO-FRONTIER-TECH-READINESS-TRINIDAD,Caribbean-CTO-Brief,Issue-02,2025-11-11,NEW,,,Trinidad & Tobago,AI,,PROCUREMENT_AWARD,2025-11-11,Frontier Tech Readiness: Trinidad & Tobago's Reality vs. Potential,"A new report places Trinidad & Tobago at 86th globally in the UN Frontier Technology Readiness Index and 108th in the Global Innovation Index, citing low industrial and R&D capacity.",AI|CTU|MAWI|Newsday|UN,Newsday,https://newsday.co.tt/2025/11/06/positioning-trinidad-and-tobago-for-the-ai-economy,(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251111-003,INIT-CARIBBEAN-FEDERATED-CLOUD,Caribbean-CTO-Brief,Issue-02,2025-11-11,NEW,,,CARICOM,AI|Cloud|Events,,LAUNCH,2025-11-11,Sovereign Cloud: The Caribbean Is Building Its Own Infrastructure,"A major step forward: Blue NAP Americas, Cloud Carib, and Gaia-X have launched the Caribbean Federated Cloud to connect regional data centers under shared governance.",Blue NAP|CARICOM|CTU|Cloud Carib|Gaia-X|ICT|NAP,,https://caribbeandatacenters.com/2025/04/08/insight-3-6-securing-the-caribbeans-digital-future-with-a-federated-cloud,(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251118-001,INIT-CCSCAP-2025,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,CARICOM,AI|Cyber|DPI,Cyber|ID|TrustLayer,INCIDENT,2025-10-31,CARICOM's Updated CCSCAP 2025 Raises the Cyber,"Bar Signal (31 Oct 2025)CARICOM IMPACS launched the Updated CARICOM Cyber Security and Cybercrime Action Plan (CCSCAP) 2025 in Port of Spain, adding a sixth pillar on Incident Response and explicitly targeting online fra",CARICOM|CCSCAP|CSIRT|CTU|IMPACS,CARICOM IMPACS - 31 Oct 2025.,(link not provided),2025-10-31,MEDIUM,HIGH,YES,NO,,
SIG-20251118-002,INIT-CARIBBEAN-DEC-CONNECTED-SUMMIT-CCS,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Caribbean,Events,,EVENT,2025-11-18,Dec 2025 - Connected Caribbean Summit 2025 (CCS 2025),,CCS,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251118-003,INIT-CARIBBEAN-DEC-DIGITAL-XII-CARPIF,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Caribbean,Events,,POLICY,2025-11-18,Dec 2025 - The Caribbean Digital XII & CarPIF 11Why it matters:,,XII,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251118-004,INIT-HAITI-ECOSYSTEM-WATCH-HAITI-TECH,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Haiti,AI|Events,,PARTNERSHIP,2025-11-18,Ecosystem Watch - Haiti Tech Connect,Signal (Awards in ~30 days)Haiti will host the inaugural Haiti Tech Connect Awards to honour individuals and organisations in Haiti and the diaspora who are “building the country's digital future.” (Source: Le Nouvellist,,Le,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251118-005,INIT-CARIBBEAN-LATIN-AMERICAN-AI-INDEX,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Caribbean,AI|Cloud,,PILOT,2025-11-14,"Latin American & Caribbean AI Index 2025: Users Up,","Investment Down Signal (14 Nov 2025)ECLAC and Chile's CENIA released the Latin American Artificial Intelligence Index (ILIA 2025), showing LAC generates ~14% of global visits to AI solutions with only 11% of the world's ",AI|CENIA|CIO|ECLAC|ILIA|LAC,Intelligent CIO),(link not provided),2025-11-14,MEDIUM,HIGH,YES,NO,,
SIG-20251118-006,INIT-CARIBBEAN-NOV-DEVFEST-PORT-SPAIN,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Caribbean,AI|Events,,POLICY,2025-11-18,Nov 2025 - DevFest Caribbean 2025 (Port of Spain)Why it,,,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20251118-007,INIT-GUYANA-CEREBRAS-AI-DC,Caribbean-CTO-Brief,Issue-03,2025-11-18,NEW,,,Trinidad & Tobago,AI|Cloud|DPI|Events|Interoperability,DataExchange|ID|ServiceFrontDoor|TrustLayer,PARTNERSHIP,2025-11-21,Public Service AI & Data Training - Last Call for,Applications Signal (Deadline: 21 Nov 2025)The Public Service Academy is advertising multiple online programmes for public officers - including “Policy Analytics: Understanding and Using Data” and “Artificial Intelligenc,AI|CAF|CANTO|CARICOM|CCS|CDB|CTU|Cerebras|DPI|ECLAC|EULAC|FM|IDB|IECMS|IRIE|LAC|LCDS|MRV|Public Service Academy|Rwanda|UNDP|WSIS|XII,Public Service Academy - Nov 2025.,(link not provided),2025-11-21,MEDIUM,MEDIUM,YES,YES,,
